Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Afrique du Sud","Population totale","Population","2013","52776"
"Bilans Alimentaires","Algérie","Population totale","Population","2013","39208"
"Bilans Alimentaires","Angola","Population totale","Population","2013","21472"
"Bilans Alimentaires","Bénin","Population totale","Population","2013","10323"
"Bilans Alimentaires","Botswana","Population totale","Population","2013","2021"
"Bilans Alimentaires","Burkina Faso","Population totale","Population","2013","16935"
"Bilans Alimentaires","Cabo Verde","Population totale","Population","2013","499"
"Bilans Alimentaires","Cameroun","Population totale","Population","2013","22254"
"Bilans Alimentaires","Congo","Population totale","Population","2013","4448"
"Bilans Alimentaires","Côte d'Ivoire","Population totale","Population","2013","20316"
"Bilans Alimentaires","Djibouti","Population totale","Population","2013","873"
"Bilans Alimentaires","Égypte","Population totale","Population","2013","82056"
"Bilans Alimentaires","Éthiopie","Population totale","Population","2013","94101"
"Bilans Alimentaires","Gabon","Population totale","Population","2013","1672"
"Bilans Alimentaires","Gambie","Population totale","Population","2013","1849"
"Bilans Alimentaires","Ghana","Population totale","Population","2013","25905"
"Bilans Alimentaires","Guinée","Population totale","Population","2013","11745"
"Bilans Alimentaires","Guinée-Bissau","Population totale","Population","2013","1704"
"Bilans Alimentaires","Kenya","Population totale","Population","2013","44354"
"Bilans Alimentaires","Lesotho","Population totale","Population","2013","2074"
"Bilans Alimentaires","Libéria","Population totale","Population","2013","4294"
"Bilans Alimentaires","Madagascar","Population totale","Population","2013","22925"
"Bilans Alimentaires","Malawi","Population totale","Population","2013","16363"
"Bilans Alimentaires","Mali","Population totale","Population","2013","15302"
"Bilans Alimentaires","Maroc","Population totale","Population","2013","33008"
"Bilans Alimentaires","Maurice","Population totale","Population","2013","1244"
"Bilans Alimentaires","Mauritanie","Population totale","Population","2013","3890"
"Bilans Alimentaires","Mozambique","Population totale","Population","2013","25834"
"Bilans Alimentaires","Namibie","Population totale","Population","2013","2303"
"Bilans Alimentaires","Niger","Population totale","Population","2013","17831"
"Bilans Alimentaires","Nigéria","Population totale","Population","2013","173615"
"Bilans Alimentaires","Ouganda","Population totale","Population","2013","37579"
"Bilans Alimentaires","République centrafricaine","Population totale","Population","2013","4616"
"Bilans Alimentaires","République-Unie de Tanzanie","Population totale","Population","2013","49253"
"Bilans Alimentaires","Rwanda","Population totale","Population","2013","11777"
"Bilans Alimentaires","Sao Tomé-et-Principe","Population totale","Population","2013","193"
"Bilans Alimentaires","Sénégal","Population totale","Population","2013","14133"
"Bilans Alimentaires","Sierra Leone","Population totale","Population","2013","6092"
"Bilans Alimentaires","Soudan","Population totale","Population","2013","37964"
"Bilans Alimentaires","Eswatini","Population totale","Population","2013","1250"
"Bilans Alimentaires","Tchad","Population totale","Population","2013","12825"
"Bilans Alimentaires","Togo","Population totale","Population","2013","6817"
"Bilans Alimentaires","Tunisie","Population totale","Population","2013","10997"
"Bilans Alimentaires","Zambie","Population totale","Population","2013","14539"
"Bilans Alimentaires","Zimbabwe","Population totale","Population","2013","14150"
