Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Djibouti","Population totale","Population","2013","873"
"Bilans Alimentaires","Éthiopie","Population totale","Population","2013","94101"
"Bilans Alimentaires","Kenya","Population totale","Population","2013","44354"
"Bilans Alimentaires","Madagascar","Population totale","Population","2013","22925"
"Bilans Alimentaires","Malawi","Population totale","Population","2013","16363"
"Bilans Alimentaires","Maurice","Population totale","Population","2013","1244"
"Bilans Alimentaires","Mozambique","Population totale","Population","2013","25834"
"Bilans Alimentaires","Ouganda","Population totale","Population","2013","37579"
"Bilans Alimentaires","République-Unie de Tanzanie","Population totale","Population","2013","49253"
"Bilans Alimentaires","Rwanda","Population totale","Population","2013","11777"
"Bilans Alimentaires","Zambie","Population totale","Population","2013","14539"
"Bilans Alimentaires","Zimbabwe","Population totale","Population","2013","14150"
