Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Bénin","Population totale","Population","2013","10323"
"Bilans Alimentaires","Burkina Faso","Population totale","Population","2013","16935"
"Bilans Alimentaires","Cabo Verde","Population totale","Population","2013","499"
"Bilans Alimentaires","Côte d'Ivoire","Population totale","Population","2013","20316"
"Bilans Alimentaires","Gambie","Population totale","Population","2013","1849"
"Bilans Alimentaires","Ghana","Population totale","Population","2013","25905"
"Bilans Alimentaires","Guinée","Population totale","Population","2013","11745"
"Bilans Alimentaires","Guinée-Bissau","Population totale","Population","2013","1704"
"Bilans Alimentaires","Libéria","Population totale","Population","2013","4294"
"Bilans Alimentaires","Mali","Population totale","Population","2013","15302"
"Bilans Alimentaires","Mauritanie","Population totale","Population","2013","3890"
"Bilans Alimentaires","Niger","Population totale","Population","2013","17831"
"Bilans Alimentaires","Nigéria","Population totale","Population","2013","173615"
"Bilans Alimentaires","Sénégal","Population totale","Population","2013","14133"
"Bilans Alimentaires","Sierra Leone","Population totale","Population","2013","6092"
"Bilans Alimentaires","Togo","Population totale","Population","2013","6817"
