Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Antigua-et-Barbuda","Population totale","Population","2013","90"
"Bilans Alimentaires","Argentine","Population totale","Population","2013","41446"
"Bilans Alimentaires","Bahamas","Population totale","Population","2013","377"
"Bilans Alimentaires","Barbade","Population totale","Population","2013","285"
"Bilans Alimentaires","Belize","Population totale","Population","2013","332"
"Bilans Alimentaires","Bermudes","Population totale","Population","2013","65"
"Bilans Alimentaires","Bolivie (État plurinational de)","Population totale","Population","2013","10671"
"Bilans Alimentaires","Brésil","Population totale","Population","2013","200362"
"Bilans Alimentaires","Canada","Population totale","Population","2013","35182"
"Bilans Alimentaires","Chili","Population totale","Population","2013","17620"
"Bilans Alimentaires","Colombie","Population totale","Population","2013","48321"
"Bilans Alimentaires","Costa Rica","Population totale","Population","2013","4872"
"Bilans Alimentaires","Cuba","Population totale","Population","2013","11266"
"Bilans Alimentaires","Dominique","Population totale","Population","2013","72"
"Bilans Alimentaires","El Salvador","Population totale","Population","2013","6340"
"Bilans Alimentaires","Équateur","Population totale","Population","2013","15738"
"Bilans Alimentaires","États-Unis d'Amérique","Population totale","Population","2013","320051"
"Bilans Alimentaires","Grenade","Population totale","Population","2013","106"
"Bilans Alimentaires","Guatemala","Population totale","Population","2013","15468"
"Bilans Alimentaires","Guyana","Population totale","Population","2013","800"
"Bilans Alimentaires","Haïti","Population totale","Population","2013","10317"
"Bilans Alimentaires","Honduras","Population totale","Population","2013","8096"
"Bilans Alimentaires","Jamaïque","Population totale","Population","2013","2784"
"Bilans Alimentaires","Mexique","Population totale","Population","2013","122332"
"Bilans Alimentaires","Nicaragua","Population totale","Population","2013","6080"
"Bilans Alimentaires","Panama","Population totale","Population","2013","3864"
"Bilans Alimentaires","Paraguay","Population totale","Population","2013","6802"
"Bilans Alimentaires","Pérou","Population totale","Population","2013","30376"
"Bilans Alimentaires","République dominicaine","Population totale","Population","2013","10404"
"Bilans Alimentaires","Sainte-Lucie","Population totale","Population","2013","182"
"Bilans Alimentaires","Saint-Kitts-et-Nevis","Population totale","Population","2013","54"
"Bilans Alimentaires","Saint-Vincent-et-les Grenadines","Population totale","Population","2013","109"
"Bilans Alimentaires","Suriname","Population totale","Population","2013","539"
"Bilans Alimentaires","Trinité-et-Tobago","Population totale","Population","2013","1341"
"Bilans Alimentaires","Uruguay","Population totale","Population","2013","3407"
"Bilans Alimentaires","Venezuela (République bolivarienne du)","Population totale","Population","2013","30405"
