Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Argentine","Population totale","Population","2013","41446"
"Bilans Alimentaires","Bolivie (État plurinational de)","Population totale","Population","2013","10671"
"Bilans Alimentaires","Brésil","Population totale","Population","2013","200362"
"Bilans Alimentaires","Chili","Population totale","Population","2013","17620"
"Bilans Alimentaires","Colombie","Population totale","Population","2013","48321"
"Bilans Alimentaires","Équateur","Population totale","Population","2013","15738"
"Bilans Alimentaires","Guyana","Population totale","Population","2013","800"
"Bilans Alimentaires","Paraguay","Population totale","Population","2013","6802"
"Bilans Alimentaires","Pérou","Population totale","Population","2013","30376"
"Bilans Alimentaires","Suriname","Population totale","Population","2013","539"
"Bilans Alimentaires","Uruguay","Population totale","Population","2013","3407"
"Bilans Alimentaires","Venezuela (République bolivarienne du)","Population totale","Population","2013","30405"
