Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Afghanistan","Population totale","Population","2013","30552"
"Bilans Alimentaires","Arabie saoudite","Population totale","Population","2013","28829"
"Bilans Alimentaires","Arménie","Population totale","Population","2013","2977"
"Bilans Alimentaires","Azerbaïdjan","Population totale","Population","2013","9413"
"Bilans Alimentaires","Bangladesh","Population totale","Population","2013","156595"
"Bilans Alimentaires","Brunéi Darussalam","Population totale","Population","2013","418"
"Bilans Alimentaires","Cambodge","Population totale","Population","2013","15135"
"Bilans Alimentaires","Chine - RAS de Hong-Kong","Population totale","Population","2013","7204"
"Bilans Alimentaires","Chine - RAS de Macao","Population totale","Population","2013","566"
"Bilans Alimentaires","Chine, continentale","Population totale","Population","2013","1385567"
"Bilans Alimentaires","Chine, Taiwan Province de","Population totale","Population","2013","23330"
"Bilans Alimentaires","Chypre","Population totale","Population","2013","1141"
"Bilans Alimentaires","Émirats arabes unis","Population totale","Population","2013","9346"
"Bilans Alimentaires","Géorgie","Population totale","Population","2013","4341"
"Bilans Alimentaires","Inde","Population totale","Population","2013","1252140"
"Bilans Alimentaires","Indonésie","Population totale","Population","2013","249866"
"Bilans Alimentaires","Iran (République islamique d')","Population totale","Population","2013","77447"
"Bilans Alimentaires","Iraq","Population totale","Population","2013","33765"
"Bilans Alimentaires","Israël","Population totale","Population","2013","7733"
"Bilans Alimentaires","Japon","Population totale","Population","2013","127144"
"Bilans Alimentaires","Jordanie","Population totale","Population","2013","7274"
"Bilans Alimentaires","Kazakhstan","Population totale","Population","2013","16441"
"Bilans Alimentaires","Kirghizistan","Population totale","Population","2013","5548"
"Bilans Alimentaires","Koweït","Population totale","Population","2013","3369"
"Bilans Alimentaires","Liban","Population totale","Population","2013","4822"
"Bilans Alimentaires","Malaisie","Population totale","Population","2013","29717"
"Bilans Alimentaires","Maldives","Population totale","Population","2013","345"
"Bilans Alimentaires","Mongolie","Population totale","Population","2013","2839"
"Bilans Alimentaires","Myanmar","Population totale","Population","2013","53259"
"Bilans Alimentaires","Népal","Population totale","Population","2013","27797"
"Bilans Alimentaires","Oman","Population totale","Population","2013","3632"
"Bilans Alimentaires","Ouzbékistan","Population totale","Population","2013","28934"
"Bilans Alimentaires","Pakistan","Population totale","Population","2013","182143"
"Bilans Alimentaires","Philippines","Population totale","Population","2013","98394"
"Bilans Alimentaires","République de Corée","Population totale","Population","2013","49263"
"Bilans Alimentaires","République démocratique populaire lao","Population totale","Population","2013","6770"
"Bilans Alimentaires","République populaire démocratique de Corée","Population totale","Population","2013","24895"
"Bilans Alimentaires","Sri Lanka","Population totale","Population","2013","21273"
"Bilans Alimentaires","Tadjikistan","Population totale","Population","2013","8208"
"Bilans Alimentaires","Thaïlande","Population totale","Population","2013","67011"
"Bilans Alimentaires","Timor-Leste","Population totale","Population","2013","1133"
"Bilans Alimentaires","Turkménistan","Population totale","Population","2013","5240"
"Bilans Alimentaires","Turquie","Population totale","Population","2013","74933"
"Bilans Alimentaires","Viet Nam","Population totale","Population","2013","91680"
"Bilans Alimentaires","Yémen","Population totale","Population","2013","24407"
