Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Arabie saoudite","Population totale","Population","2013","28829"
"Bilans Alimentaires","Arménie","Population totale","Population","2013","2977"
"Bilans Alimentaires","Azerbaïdjan","Population totale","Population","2013","9413"
"Bilans Alimentaires","Chypre","Population totale","Population","2013","1141"
"Bilans Alimentaires","Émirats arabes unis","Population totale","Population","2013","9346"
"Bilans Alimentaires","Géorgie","Population totale","Population","2013","4341"
"Bilans Alimentaires","Iraq","Population totale","Population","2013","33765"
"Bilans Alimentaires","Israël","Population totale","Population","2013","7733"
"Bilans Alimentaires","Jordanie","Population totale","Population","2013","7274"
"Bilans Alimentaires","Koweït","Population totale","Population","2013","3369"
"Bilans Alimentaires","Liban","Population totale","Population","2013","4822"
"Bilans Alimentaires","Oman","Population totale","Population","2013","3632"
"Bilans Alimentaires","Turquie","Population totale","Population","2013","74933"
"Bilans Alimentaires","Yémen","Population totale","Population","2013","24407"
