Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Brunéi Darussalam","Population totale","Population","2013","418"
"Bilans Alimentaires","Cambodge","Population totale","Population","2013","15135"
"Bilans Alimentaires","Indonésie","Population totale","Population","2013","249866"
"Bilans Alimentaires","Malaisie","Population totale","Population","2013","29717"
"Bilans Alimentaires","Myanmar","Population totale","Population","2013","53259"
"Bilans Alimentaires","Philippines","Population totale","Population","2013","98394"
"Bilans Alimentaires","République démocratique populaire lao","Population totale","Population","2013","6770"
"Bilans Alimentaires","Thaïlande","Population totale","Population","2013","67011"
"Bilans Alimentaires","Timor-Leste","Population totale","Population","2013","1133"
"Bilans Alimentaires","Viet Nam","Population totale","Population","2013","91680"
