Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Antigua-et-Barbuda","Population totale","Population","2013","90"
"Bilans Alimentaires","Bahamas","Population totale","Population","2013","377"
"Bilans Alimentaires","Barbade","Population totale","Population","2013","285"
"Bilans Alimentaires","Cuba","Population totale","Population","2013","11266"
"Bilans Alimentaires","Dominique","Population totale","Population","2013","72"
"Bilans Alimentaires","Grenade","Population totale","Population","2013","106"
"Bilans Alimentaires","Haïti","Population totale","Population","2013","10317"
"Bilans Alimentaires","Jamaïque","Population totale","Population","2013","2784"
"Bilans Alimentaires","République dominicaine","Population totale","Population","2013","10404"
"Bilans Alimentaires","Sainte-Lucie","Population totale","Population","2013","182"
"Bilans Alimentaires","Saint-Kitts-et-Nevis","Population totale","Population","2013","54"
"Bilans Alimentaires","Saint-Vincent-et-les Grenadines","Population totale","Population","2013","109"
"Bilans Alimentaires","Trinité-et-Tobago","Population totale","Population","2013","1341"
