Pays,kcal,Proteine,ani%,popPlus%,PIB,continent,tdi,cluster
Algérie,3296,91.96,27.174858634188777,1.8865963307520397,13253.6,afrique,1.03,5
Tunisie,3349,98.59,28.775737904452786,1.12183908045977,10579.1,afrique,0.98,5
Maroc,3403,97.93,27.203104258143572,1.4974939270010148,6995.9,afrique,0.58,5
Botswana,2326,64.86,40.71847055195806,0.8483033932135728,15568.3,afrique,54.55,5
Cabo Verde,2609,73.65,37.92260692464358,1.0121457489878543,5963.9,afrique,90.0,5
Lesotho,2529,73.52,17.383025027203484,1.0721247563352825,2631.0,afrique,80.95,5
Côte d'Ivoire,2799,58.51,23.363527602119298,2.3991935483870965,2879.9,afrique,2.04,5
Égypte,3522,103.24,25.513366912049595,1.6525854166150493,9814.2,afrique,10.56,5
Ghana,3016,64.57,26.6687316091064,2.12489158716392,3807.3,afrique,77.23,5
Soudan,2336,70.71,41.29543204638665,2.0674821884661916,4177.3,afrique,4.17,5
Paraguay,2589,70.72,48.331447963800905,1.7197547480185433,8227.2,amerique,2.33,5
Pérou,2700,74.92,36.09183128670582,1.2938508736828065,11430.3,amerique,2.52,5
Jamaïque,2746,76.97,48.213589710276736,0.5417118093174431,8025.5,amerique,29.45,5
République dominicaine,2614,58.2,45.360824742268036,1.235769193344361,11907.2,amerique,8.36,5
Guyana,2764,79.51,45.36536284744057,0.628930817610063,6696.8,amerique,6.45,5
El Salvador,2577,71.9,35.11821974965229,0.6828648562807687,6789.9,amerique,13.49,5
Suriname,2753,62.94,45.09056244041945,0.7476635514018692,15419.3,amerique,72.41,5
Bolivie (État plurinational de),2256,66.01,45.08407816997425,1.6673018292682928,6090.7,amerique,0.27,5
Honduras,2641,64.88,35.75832305795315,2.0161290322580645,4177.6,amerique,10.3,5
Nicaragua,2638,69.62,30.451019821890256,1.4686248331108143,4618.7,amerique,4.65,5
Pakistan,2440,65.49,41.62467552298062,1.6649921857557493,4464.1,asie,0.22,5
République démocratique populaire lao,2451,68.9,21.175616835994195,1.865783930183569,5115.6,asie,0.0,5
Sri Lanka,2539,59.71,27.315357561547476,0.8294625082946251,10238.7,asie,0.0,5
Philippines,2570,59.93,41.465042549641254,1.7444445593390343,6306.7,asie,8.45,5
Thaïlande,2784,60.88,40.818002628120894,0.3383993411694243,14771.5,asie,1.16,5
Viet Nam,2745,81.61,38.04680798921701,0.973611172298339,5024.4,asie,44.13,5
Népal,2673,69.15,16.572668112798265,1.1756569847856155,2164.0,asie,0.0,5
Myanmar,2571,82.61,40.806197796876894,0.8750497187340189,4457.9,asie,0.08,5
Turquie,3706,108.12,33.58305586385498,1.2649161452491318,21650.8,asie,0.0,5
Kirghizistan,2817,85.16,41.146077970878345,1.351845085860431,3120.5,asie,89.47,5
Iran (République islamique d'),3094,87.28,25.458295142071492,1.3385847377787081,16383.3,asie,0.87,5
Indonésie,2777,62.18,28.481826954004504,1.2160541836800831,9643.3,asie,0.05,5
Inde,2459,60.25,19.900414937759336,1.2495481880217063,5073.6,asie,0.0,5
Cambodge,2477,65.66,29.1044776119403,1.8163471241170535,2964.2,asie,3.57,5
Bangladesh,2450,55.84,17.76504297994269,1.2282232780632858,2835.8,asie,0.0,5
Azerbaïdjan,3118,93.15,32.292002147074605,1.117198410140724,16593.2,asie,5.05,5
Ouzbékistan,2760,83.43,34.98741459906508,1.3769664692897936,5067.4,asie,38.89,5
Fidji,2943,73.6,42.622282608695656,0.6857142857142857,7839.9,oceanie,5.26,5
Kiribati,3040,73.33,48.13855175235238,0.9900990099009901,1830.9,oceanie,50.0,5
