Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Albanie","Population totale","Population","2013","3173"
"Bilans Alimentaires","Allemagne","Population totale","Population","2013","82727"
"Bilans Alimentaires","Autriche","Population totale","Population","2013","8495"
"Bilans Alimentaires","Bélarus","Population totale","Population","2013","9357"
"Bilans Alimentaires","Belgique","Population totale","Population","2013","11104"
"Bilans Alimentaires","Bosnie-Herzégovine","Population totale","Population","2013","3829"
"Bilans Alimentaires","Bulgarie","Population totale","Population","2013","7223"
"Bilans Alimentaires","Croatie","Population totale","Population","2013","4290"
"Bilans Alimentaires","Danemark","Population totale","Population","2013","5619"
"Bilans Alimentaires","Espagne","Population totale","Population","2013","46927"
"Bilans Alimentaires","Estonie","Population totale","Population","2013","1287"
"Bilans Alimentaires","Fédération de Russie","Population totale","Population","2013","142834"
"Bilans Alimentaires","Finlande","Population totale","Population","2013","5426"
"Bilans Alimentaires","France","Population totale","Population","2013","64291"
"Bilans Alimentaires","Grèce","Population totale","Population","2013","11128"
"Bilans Alimentaires","Hongrie","Population totale","Population","2013","9955"
"Bilans Alimentaires","Irlande","Population totale","Population","2013","4627"
"Bilans Alimentaires","Islande","Population totale","Population","2013","330"
"Bilans Alimentaires","Italie","Population totale","Population","2013","60990"
"Bilans Alimentaires","Lettonie","Population totale","Population","2013","2050"
"Bilans Alimentaires","Macédoine du Nord","Population totale","Population","2013","2107"
"Bilans Alimentaires","Lituanie","Population totale","Population","2013","3017"
"Bilans Alimentaires","Luxembourg","Population totale","Population","2013","530"
"Bilans Alimentaires","Malte","Population totale","Population","2013","429"
"Bilans Alimentaires","Monténégro","Population totale","Population","2013","621"
"Bilans Alimentaires","Norvège","Population totale","Population","2013","5043"
"Bilans Alimentaires","Pays-Bas","Population totale","Population","2013","16759"
"Bilans Alimentaires","Pologne","Population totale","Population","2013","38217"
"Bilans Alimentaires","Portugal","Population totale","Population","2013","10608"
"Bilans Alimentaires","République de Moldova","Population totale","Population","2013","3487"
"Bilans Alimentaires","Roumanie","Population totale","Population","2013","21699"
"Bilans Alimentaires","Royaume-Uni","Population totale","Population","2013","63384"
"Bilans Alimentaires","Serbie","Population totale","Population","2013","9511"
"Bilans Alimentaires","Slovaquie","Population totale","Population","2013","5450"
"Bilans Alimentaires","Slovénie","Population totale","Population","2013","2072"
"Bilans Alimentaires","Suède","Population totale","Population","2013","9571"
"Bilans Alimentaires","Suisse","Population totale","Population","2013","8078"
"Bilans Alimentaires","Tchéquie (la)","Population totale","Population","2013","10702"
"Bilans Alimentaires","Ukraine","Population totale","Population","2013","45239"
