Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Bélarus","Population totale","Population","2013","9357"
"Bilans Alimentaires","Bulgarie","Population totale","Population","2013","7223"
"Bilans Alimentaires","Fédération de Russie","Population totale","Population","2013","142834"
"Bilans Alimentaires","Hongrie","Population totale","Population","2013","9955"
"Bilans Alimentaires","Pologne","Population totale","Population","2013","38217"
"Bilans Alimentaires","République de Moldova","Population totale","Population","2013","3487"
"Bilans Alimentaires","Roumanie","Population totale","Population","2013","21699"
"Bilans Alimentaires","Slovaquie","Population totale","Population","2013","5450"
"Bilans Alimentaires","Tchéquie (la)","Population totale","Population","2013","10702"
"Bilans Alimentaires","Ukraine","Population totale","Population","2013","45239"
