Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Danemark","Population totale","Population","2013","5619"
"Bilans Alimentaires","Estonie","Population totale","Population","2013","1287"
"Bilans Alimentaires","Finlande","Population totale","Population","2013","5426"
"Bilans Alimentaires","Irlande","Population totale","Population","2013","4627"
"Bilans Alimentaires","Islande","Population totale","Population","2013","330"
"Bilans Alimentaires","Lettonie","Population totale","Population","2013","2050"
"Bilans Alimentaires","Lituanie","Population totale","Population","2013","3017"
"Bilans Alimentaires","Norvège","Population totale","Population","2013","5043"
"Bilans Alimentaires","Royaume-Uni","Population totale","Population","2013","63384"
"Bilans Alimentaires","Suède","Population totale","Population","2013","9571"
