Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Albanie","Population totale","Population","2013","3173"
"Bilans Alimentaires","Bosnie-Herzégovine","Population totale","Population","2013","3829"
"Bilans Alimentaires","Croatie","Population totale","Population","2013","4290"
"Bilans Alimentaires","Espagne","Population totale","Population","2013","46927"
"Bilans Alimentaires","Grèce","Population totale","Population","2013","11128"
"Bilans Alimentaires","Italie","Population totale","Population","2013","60990"
"Bilans Alimentaires","Macédoine du Nord","Population totale","Population","2013","2107"
"Bilans Alimentaires","Malte","Population totale","Population","2013","429"
"Bilans Alimentaires","Monténégro","Population totale","Population","2013","621"
"Bilans Alimentaires","Portugal","Population totale","Population","2013","10608"
"Bilans Alimentaires","Serbie","Population totale","Population","2013","9511"
"Bilans Alimentaires","Slovénie","Population totale","Population","2013","2072"
