Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2090"
"Bilans Alimentaires","Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3022"
"Bilans Alimentaires","Albanie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3193"
"Bilans Alimentaires","Algérie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3296"
"Bilans Alimentaires","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3499"
"Bilans Alimentaires","Angola","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2473"
"Bilans Alimentaires","Antigua-et-Barbuda","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2417"
"Bilans Alimentaires","Arabie saoudite","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3255"
"Bilans Alimentaires","Argentine","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3229"
"Bilans Alimentaires","Arménie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2928"
"Bilans Alimentaires","Australie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3276"
"Bilans Alimentaires","Autriche","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3768"
"Bilans Alimentaires","Azerbaïdjan","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3118"
"Bilans Alimentaires","Bahamas","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2670"
"Bilans Alimentaires","Bangladesh","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2450"
"Bilans Alimentaires","Barbade","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2937"
"Bilans Alimentaires","Bélarus","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3250"
"Bilans Alimentaires","Belgique","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3733"
"Bilans Alimentaires","Belize","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2751"
"Bilans Alimentaires","Bénin","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2619"
"Bilans Alimentaires","Bermudes","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2671"
"Bilans Alimentaires","Bolivie (État plurinational de)","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2256"
"Bilans Alimentaires","Bosnie-Herzégovine","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3154"
"Bilans Alimentaires","Botswana","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2326"
"Bilans Alimentaires","Brésil","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3263"
"Bilans Alimentaires","Brunéi Darussalam","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2985"
"Bilans Alimentaires","Bulgarie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2829"
"Bilans Alimentaires","Burkina Faso","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2720"
"Bilans Alimentaires","Cabo Verde","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2609"
"Bilans Alimentaires","Cambodge","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2477"
"Bilans Alimentaires","Cameroun","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2671"
"Bilans Alimentaires","Canada","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3494"
"Bilans Alimentaires","Chili","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2979"
"Bilans Alimentaires","Chypre","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2649"
"Bilans Alimentaires","Colombie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2804"
"Bilans Alimentaires","Congo","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2208"
"Bilans Alimentaires","Costa Rica","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2848"
"Bilans Alimentaires","Côte d'Ivoire","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2799"
"Bilans Alimentaires","Croatie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3059"
"Bilans Alimentaires","Cuba","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3409"
"Bilans Alimentaires","Danemark","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3367"
"Bilans Alimentaires","Djibouti","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2607"
"Bilans Alimentaires","Dominique","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2931"
"Bilans Alimentaires","Égypte","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3522"
"Bilans Alimentaires","El Salvador","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2577"
"Bilans Alimentaires","Émirats arabes unis","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3280"
"Bilans Alimentaires","Équateur","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","2344"
"Bilans Alimentaires","Espagne","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3174"
"Bilans Alimentaires","Estonie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3253"
"Bilans Alimentaires","États-Unis d'Amérique","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2013","3682"
