Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Afghanistan","Population totale","Population","2012","29825"
"Bilans Alimentaires","Afghanistan","Population totale","Population","2013","30552"
"Bilans Alimentaires","Afrique du Sud","Population totale","Population","2012","52386"
"Bilans Alimentaires","Afrique du Sud","Population totale","Population","2013","52776"
"Bilans Alimentaires","Albanie","Population totale","Population","2012","3162"
"Bilans Alimentaires","Albanie","Population totale","Population","2013","3173"
"Bilans Alimentaires","Algérie","Population totale","Population","2012","38482"
"Bilans Alimentaires","Algérie","Population totale","Population","2013","39208"
"Bilans Alimentaires","Allemagne","Population totale","Population","2012","82800"
"Bilans Alimentaires","Allemagne","Population totale","Population","2013","82727"
"Bilans Alimentaires","Angola","Population totale","Population","2012","20821"
"Bilans Alimentaires","Angola","Population totale","Population","2013","21472"
"Bilans Alimentaires","Antigua-et-Barbuda","Population totale","Population","2012","89"
"Bilans Alimentaires","Antigua-et-Barbuda","Population totale","Population","2013","90"
"Bilans Alimentaires","Arabie saoudite","Population totale","Population","2012","28288"
"Bilans Alimentaires","Arabie saoudite","Population totale","Population","2013","28829"
"Bilans Alimentaires","Argentine","Population totale","Population","2012","41087"
"Bilans Alimentaires","Argentine","Population totale","Population","2013","41446"
"Bilans Alimentaires","Arménie","Population totale","Population","2012","2969"
"Bilans Alimentaires","Arménie","Population totale","Population","2013","2977"
"Bilans Alimentaires","Australie","Population totale","Population","2012","23050"
"Bilans Alimentaires","Australie","Population totale","Population","2013","23343"
"Bilans Alimentaires","Autriche","Population totale","Population","2012","8464"
"Bilans Alimentaires","Autriche","Population totale","Population","2013","8495"
"Bilans Alimentaires","Azerbaïdjan","Population totale","Population","2012","9309"
"Bilans Alimentaires","Azerbaïdjan","Population totale","Population","2013","9413"
"Bilans Alimentaires","Bahamas","Population totale","Population","2012","372"
"Bilans Alimentaires","Bahamas","Population totale","Population","2013","377"
"Bilans Alimentaires","Bangladesh","Population totale","Population","2012","154695"
"Bilans Alimentaires","Bangladesh","Population totale","Population","2013","156595"
"Bilans Alimentaires","Barbade","Population totale","Population","2012","283"
"Bilans Alimentaires","Barbade","Population totale","Population","2013","285"
"Bilans Alimentaires","Bélarus","Population totale","Population","2012","9405"
"Bilans Alimentaires","Bélarus","Population totale","Population","2013","9357"
"Bilans Alimentaires","Belgique","Population totale","Population","2012","11060"
"Bilans Alimentaires","Belgique","Population totale","Population","2013","11104"
"Bilans Alimentaires","Belize","Population totale","Population","2012","324"
"Bilans Alimentaires","Belize","Population totale","Population","2013","332"
"Bilans Alimentaires","Bénin","Population totale","Population","2012","10051"
"Bilans Alimentaires","Bénin","Population totale","Population","2013","10323"
"Bilans Alimentaires","Bermudes","Population totale","Population","2012","65"
"Bilans Alimentaires","Bermudes","Population totale","Population","2013","65"
"Bilans Alimentaires","Bolivie (État plurinational de)","Population totale","Population","2012","10496"
"Bilans Alimentaires","Bolivie (État plurinational de)","Population totale","Population","2013","10671"
"Bilans Alimentaires","Bosnie-Herzégovine","Population totale","Population","2012","3834"
"Bilans Alimentaires","Bosnie-Herzégovine","Population totale","Population","2013","3829"
"Bilans Alimentaires","Botswana","Population totale","Population","2012","2004"
"Bilans Alimentaires","Botswana","Population totale","Population","2013","2021"
"Bilans Alimentaires","Brésil","Population totale","Population","2012","198656"
"Bilans Alimentaires","Brésil","Population totale","Population","2013","200362"
"Bilans Alimentaires","Brunéi Darussalam","Population totale","Population","2012","412"
"Bilans Alimentaires","Brunéi Darussalam","Population totale","Population","2013","418"
"Bilans Alimentaires","Bulgarie","Population totale","Population","2012","7278"
"Bilans Alimentaires","Bulgarie","Population totale","Population","2013","7223"
"Bilans Alimentaires","Burkina Faso","Population totale","Population","2012","16460"
"Bilans Alimentaires","Burkina Faso","Population totale","Population","2013","16935"
"Bilans Alimentaires","Cabo Verde","Population totale","Population","2012","494"
"Bilans Alimentaires","Cabo Verde","Population totale","Population","2013","499"
"Bilans Alimentaires","Cambodge","Population totale","Population","2012","14865"
"Bilans Alimentaires","Cambodge","Population totale","Population","2013","15135"
"Bilans Alimentaires","Cameroun","Population totale","Population","2012","21700"
"Bilans Alimentaires","Cameroun","Population totale","Population","2013","22254"
"Bilans Alimentaires","Canada","Population totale","Population","2012","34838"
"Bilans Alimentaires","Canada","Population totale","Population","2013","35182"
"Bilans Alimentaires","Chili","Population totale","Population","2012","17465"
"Bilans Alimentaires","Chili","Population totale","Population","2013","17620"
"Bilans Alimentaires","Chypre","Population totale","Population","2012","1129"
"Bilans Alimentaires","Chypre","Population totale","Population","2013","1141"
"Bilans Alimentaires","Colombie","Population totale","Population","2012","47704"
"Bilans Alimentaires","Colombie","Population totale","Population","2013","48321"
"Bilans Alimentaires","Congo","Population totale","Population","2012","4337"
"Bilans Alimentaires","Congo","Population totale","Population","2013","4448"
"Bilans Alimentaires","Costa Rica","Population totale","Population","2012","4805"
"Bilans Alimentaires","Costa Rica","Population totale","Population","2013","4872"
"Bilans Alimentaires","Côte d'Ivoire","Population totale","Population","2012","19840"
"Bilans Alimentaires","Côte d'Ivoire","Population totale","Population","2013","20316"
"Bilans Alimentaires","Croatie","Population totale","Population","2012","4307"
