Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","58.25"
"Bilans Alimentaires","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","12.22"
"Bilans Alimentaires","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","85.33"
"Bilans Alimentaires","Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","36.38"
"Bilans Alimentaires","Albanie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","111.42"
"Bilans Alimentaires","Albanie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","59.42"
"Bilans Alimentaires","Algérie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","91.96"
"Bilans Alimentaires","Algérie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","24.99"
"Bilans Alimentaires","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","101.59"
"Bilans Alimentaires","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","61.48"
"Bilans Alimentaires","Angola","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","57.26"
"Bilans Alimentaires","Angola","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","18.4"
"Bilans Alimentaires","Antigua-et-Barbuda","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","83.71"
"Bilans Alimentaires","Antigua-et-Barbuda","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","56.83"
"Bilans Alimentaires","Arabie saoudite","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","91.63"
"Bilans Alimentaires","Arabie saoudite","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","39.93"
"Bilans Alimentaires","Argentine","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","102.64"
"Bilans Alimentaires","Argentine","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","66.94"
"Bilans Alimentaires","Arménie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","90.04"
"Bilans Alimentaires","Arménie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","43.25"
"Bilans Alimentaires","Australie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","106.28"
"Bilans Alimentaires","Australie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","71.68"
"Bilans Alimentaires","Autriche","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","106.21"
"Bilans Alimentaires","Autriche","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","62.86"
"Bilans Alimentaires","Azerbaïdjan","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","93.15"
"Bilans Alimentaires","Azerbaïdjan","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","30.08"
"Bilans Alimentaires","Bahamas","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","86.62"
"Bilans Alimentaires","Bahamas","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","56.43"
"Bilans Alimentaires","Bangladesh","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","55.84"
"Bilans Alimentaires","Bangladesh","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","9.92"
"Bilans Alimentaires","Barbade","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","88.24"
"Bilans Alimentaires","Barbade","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","50.52"
"Bilans Alimentaires","Bélarus","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","93.82"
"Bilans Alimentaires","Bélarus","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","54.96"
"Bilans Alimentaires","Belgique","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","99.59"
"Bilans Alimentaires","Belgique","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","58.12"
"Bilans Alimentaires","Belize","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","73.27"
"Bilans Alimentaires","Belize","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","28.95"
"Bilans Alimentaires","Bénin","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","64.43"
"Bilans Alimentaires","Bénin","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","14.25"
"Bilans Alimentaires","Bermudes","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","90.79"
"Bilans Alimentaires","Bermudes","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","60.28"
"Bilans Alimentaires","Bolivie (État plurinational de)","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","66.01"
"Bilans Alimentaires","Bolivie (État plurinational de)","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","29.76"
"Bilans Alimentaires","Bosnie-Herzégovine","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","91.64"
"Bilans Alimentaires","Bosnie-Herzégovine","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","2013","30.42"
"Bilans Alimentaires","Botswana","Disponibilité de protéines en quantité (g/personne/jour)","Total General","2013","64.86"
