Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Afghanistan","Production","Viande de Volailles","2013","26"
"Bilans Alimentaires","Afghanistan","Importations - Quantité","Viande de Volailles","2013","48"
"Bilans Alimentaires","Afrique du Sud","Production","Viande de Volailles","2013","1679"
"Bilans Alimentaires","Afrique du Sud","Importations - Quantité","Viande de Volailles","2013","356"
"Bilans Alimentaires","Afrique du Sud","Exportations - Quantité","Viande de Volailles","2013","54"
"Bilans Alimentaires","Albanie","Production","Viande de Volailles","2013","17"
"Bilans Alimentaires","Albanie","Importations - Quantité","Viande de Volailles","2013","25"
"Bilans Alimentaires","Albanie","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Algérie","Production","Viande de Volailles","2013","288"
"Bilans Alimentaires","Algérie","Importations - Quantité","Viande de Volailles","2013","3"
"Bilans Alimentaires","Algérie","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Allemagne","Production","Viande de Volailles","2013","1457"
"Bilans Alimentaires","Allemagne","Importations - Quantité","Viande de Volailles","2013","788"
"Bilans Alimentaires","Allemagne","Exportations - Quantité","Viande de Volailles","2013","676"
"Bilans Alimentaires","Angola","Production","Viande de Volailles","2013","30"
"Bilans Alimentaires","Angola","Importations - Quantité","Viande de Volailles","2013","342"
"Bilans Alimentaires","Angola","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Antigua-et-Barbuda","Production","Viande de Volailles","2013","0"
"Bilans Alimentaires","Antigua-et-Barbuda","Importations - Quantité","Viande de Volailles","2013","6"
"Bilans Alimentaires","Antigua-et-Barbuda","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Arabie saoudite","Production","Viande de Volailles","2013","569"
"Bilans Alimentaires","Arabie saoudite","Importations - Quantité","Viande de Volailles","2013","879"
"Bilans Alimentaires","Arabie saoudite","Exportations - Quantité","Viande de Volailles","2013","34"
"Bilans Alimentaires","Argentine","Production","Viande de Volailles","2013","1967"
"Bilans Alimentaires","Argentine","Importations - Quantité","Viande de Volailles","2013","4"
"Bilans Alimentaires","Argentine","Exportations - Quantité","Viande de Volailles","2013","368"
"Bilans Alimentaires","Arménie","Production","Viande de Volailles","2013","8"
"Bilans Alimentaires","Arménie","Importations - Quantité","Viande de Volailles","2013","32"
"Bilans Alimentaires","Arménie","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Australie","Production","Viande de Volailles","2013","1098"
"Bilans Alimentaires","Australie","Importations - Quantité","Viande de Volailles","2013","17"
"Bilans Alimentaires","Australie","Exportations - Quantité","Viande de Volailles","2013","38"
"Bilans Alimentaires","Autriche","Production","Viande de Volailles","2013","131"
"Bilans Alimentaires","Autriche","Importations - Quantité","Viande de Volailles","2013","105"
"Bilans Alimentaires","Autriche","Exportations - Quantité","Viande de Volailles","2013","67"
"Bilans Alimentaires","Azerbaïdjan","Production","Viande de Volailles","2013","94"
"Bilans Alimentaires","Azerbaïdjan","Importations - Quantité","Viande de Volailles","2013","5"
"Bilans Alimentaires","Azerbaïdjan","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Bahamas","Production","Viande de Volailles","2013","7"
"Bilans Alimentaires","Bahamas","Importations - Quantité","Viande de Volailles","2013","19"
"Bilans Alimentaires","Bahamas","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Bangladesh","Production","Viande de Volailles","2013","220"
"Bilans Alimentaires","Bangladesh","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Barbade","Production","Viande de Volailles","2013","14"
"Bilans Alimentaires","Barbade","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Barbade","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Bélarus","Production","Viande de Volailles","2013","385"
"Bilans Alimentaires","Bélarus","Importations - Quantité","Viande de Volailles","2013","16"
"Bilans Alimentaires","Bélarus","Exportations - Quantité","Viande de Volailles","2013","107"
"Bilans Alimentaires","Belgique","Production","Viande de Volailles","2013","389"
"Bilans Alimentaires","Belgique","Importations - Quantité","Viande de Volailles","2013","252"
"Bilans Alimentaires","Belgique","Exportations - Quantité","Viande de Volailles","2013","498"
"Bilans Alimentaires","Belize","Production","Viande de Volailles","2013","16"
"Bilans Alimentaires","Belize","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Belize","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Bénin","Production","Viande de Volailles","2013","18"
"Bilans Alimentaires","Bénin","Importations - Quantité","Viande de Volailles","2013","185"
"Bilans Alimentaires","Bénin","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Bermudes","Production","Viande de Volailles","2013","0"
"Bilans Alimentaires","Bermudes","Importations - Quantité","Viande de Volailles","2013","4"
"Bilans Alimentaires","Bolivie (État plurinational de)","Production","Viande de Volailles","2013","368"
"Bilans Alimentaires","Bolivie (État plurinational de)","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Bolivie (État plurinational de)","Exportations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Bosnie-Herzégovine","Production","Viande de Volailles","2013","42"
"Bilans Alimentaires","Bosnie-Herzégovine","Importations - Quantité","Viande de Volailles","2013","14"
"Bilans Alimentaires","Bosnie-Herzégovine","Exportations - Quantité","Viande de Volailles","2013","5"
"Bilans Alimentaires","Botswana","Production","Viande de Volailles","2013","5"
"Bilans Alimentaires","Botswana","Importations - Quantité","Viande de Volailles","2013","6"
"Bilans Alimentaires","Botswana","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Brésil","Production","Viande de Volailles","2013","12915"
"Bilans Alimentaires","Brésil","Importations - Quantité","Viande de Volailles","2013","3"
"Bilans Alimentaires","Brésil","Exportations - Quantité","Viande de Volailles","2013","3902"
"Bilans Alimentaires","Brunéi Darussalam","Production","Viande de Volailles","2013","24"
"Bilans Alimentaires","Brunéi Darussalam","Importations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Brunéi Darussalam","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Bulgarie","Production","Viande de Volailles","2013","98"
"Bilans Alimentaires","Bulgarie","Importations - Quantité","Viande de Volailles","2013","86"
"Bilans Alimentaires","Bulgarie","Exportations - Quantité","Viande de Volailles","2013","34"
"Bilans Alimentaires","Burkina Faso","Production","Viande de Volailles","2013","38"
"Bilans Alimentaires","Burkina Faso","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Burkina Faso","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Cabo Verde","Production","Viande de Volailles","2013","1"
"Bilans Alimentaires","Cabo Verde","Importations - Quantité","Viande de Volailles","2013","9"
